Year,Population,Change %
2010,2697529,
2011,2708209,0.4
2012,2719735,0.43
2013,2726772,0.26
2014,2728524,0.06
2015,2726215,-0.08
2016,2718946,-0.27
2017,2713067,-0.22
2018,2705994,-0.26
2019,2693976,-0.44
2020,2746388,1.95
